Date range: 01/24/2025 - 03/27/2025,Diag version: v4.0.11.6-RC03,Cycle count 1,,Cycle count 2,,Cycle count 3,,Cycle count 4,,Cycle count 5,
pcierrors-high-data_link_protocol_error-rate,"PCIe serial number: 9ADK332Q40030, location: 0000:60:01.1, devpath: /phys/CPU0:device:nbio1.1:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE3 to PE2,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-data_link_protocol_error-rate,"PCIe serial number: 2468056-1 244775946, location: 0000:81:00.0, devpath: /phys/PE4/IO0:device:0000_81_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE4 to PE5,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-data_link_protocol_error-rate,"PCIe serial number: 2468056-1 244805404, location: 0000:a1:00.0, devpath: /phys/PE5/IO0:device:0000_a1_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE5 to PE4,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-data_link_protocol_error-rate,"PCIe serial number: 9MC6912O40006, location: 0000:c0:01.1, devpath: /phys/CPU1:device:nbio1.0:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE6 to PE7,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-data_link_protocol_error-rate,"PCIe serial number: PDFQMB244300424, location: 0000:e1:00.0, devpath: /phys/PE7/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE7 to PE6,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-completion_timeout-rate,"PCIe serial number: PDFQMB244502337, location: 0000:01:00.0, devpath: /phys/PE0/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE0 to PE1,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-completion_timeout-rate,"PCIe serial number: PDFCTH242301197, location: 0000:21:00.0, devpath: /phys/PE1/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE1 to PE0,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-completion_timeout-rate,"PCIe serial number: RC164-2293 244517684, location: 0000:41:00.0, devpath: /phys/PE2/IO0:device:0000_41_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE2 to PE3,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-completion_timeout-rate,"PCIe serial number: 9ADK332Q40030, location: 0000:60:01.1, devpath: /phys/CPU0:device:nbio1.1:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE3 to PE2,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-completion_timeout-rate,"PCIe serial number: 2468056-1 244775946, location: 0000:81:00.0, devpath: /phys/PE4/IO0:device:0000_81_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE4 to PE5,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-completion_timeout-rate,"PCIe serial number: 2468056-1 244805404, location: 0000:a1:00.0, devpath: /phys/PE5/IO0:device:0000_a1_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE5 to PE4,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-completion_timeout-rate,"PCIe serial number: 9MC6912O40006, location: 0000:c0:01.1, devpath: /phys/CPU1:device:nbio1.0:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE6 to PE7,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-completion_timeout-rate,"PCIe serial number: PDFQMB244300424, location: 0000:e1:00.0, devpath: /phys/PE7/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE7 to PE6,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_dllp-rate,"PCIe serial number: PDFQMB244502337, location: 0000:01:00.0, devpath: /phys/PE0/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE0 to PE1,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_dllp-rate,"PCIe serial number: PDFCTH242301197, location: 0000:21:00.0, devpath: /phys/PE1/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE1 to PE0,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_dllp-rate,"PCIe serial number: RC164-2293 244517684, location: 0000:41:00.0, devpath: /phys/PE2/IO0:device:0000_41_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE2 to PE3,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_dllp-rate,"PCIe serial number: 9ADK332Q40030, location: 0000:60:01.1, devpath: /phys/CPU0:device:nbio1.1:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE3 to PE2,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_dllp-rate,"PCIe serial number: 2468056-1 244775946, location: 0000:81:00.0, devpath: /phys/PE4/IO0:device:0000_81_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE4 to PE5,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_dllp-rate,"PCIe serial number: 2468056-1 244805404, location: 0000:a1:00.0, devpath: /phys/PE5/IO0:device:0000_a1_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE5 to PE4,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_dllp-rate,"PCIe serial number: 9MC6912O40006, location: 0000:c0:01.1, devpath: /phys/CPU1:device:nbio1.0:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE6 to PE7,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-bad_dllp-rate,"PCIe serial number: PDFQMB244300424, location: 0000:e1:00.0, devpath: /phys/PE7/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE7 to PE6,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
Fail to check diorite fan,Fail to execute command [/usr/local/bin/gsys fan list],,,,,,,,,,
excessive-correctable-core-cpu-errors,"CPU0 CORE, Error type: correctable-cpu-errors, Rate 0.50 > Threshold 0.00 count/minute.",,,,,,,,,,
excessive-correctable-core-cpu-errors,"CPU1 CORE, Error type: correctable-cpu-errors, Rate 0.50 > Threshold 0.00 count/minute.",,,,,,,,,,
Diorite firmware check on usb_loc '1-1.1' Failed,Send command 'htool --usb_loc 1-1.1 target reset on' failed.,,,,,,,,,,
Diorite firmware check on usb_loc '1-1.1' Failed,"Send command 'htool --usb_loc 1-1.1 spi read --start 0x03e7009f --length 15 /dev/stdout | hexdump -C' failed.
Failure Info:
Exception message: [Errno 104] Connection reset by peer",,,,,,,,,,
Sync attachment to control server Failed,"Caught Exception exception.
Exception message: Timeout to get the file: /tmp/lpcsnoop_post_codes.txt",,,,,,,,,,
Send command fail: /usr/local/bin/gsys -k sensor list,"Exception message: 
Traceback (most recent call last):",,,,,,,,,,
j-s-o-n-decode-error-exception,"Caught JSONDecodeError exception.
Traceback (most recent call last):",,,,,,,,,,
Check TDP Failed,"Send command '/opt/AMD/amd-avt-genoa-2.8.29.0/AVTCMD -module pmm ""get_pmdata()""' failed.
Failure Info:
Exception message: 
Traceback (most recent call last):",,,,,,,,,,
VR version check Test failed,VR version mismatch,,,,,,,,,,
value-error-exception,"Caught ValueError exception.
Traceback (most recent call last):",,,,,,,,,,
unexpected-bmc-firmware-version,"BMC firmware version is not expected: actual=open_bmc_24.49.0.0, expected=gbmc_24.44.17.201",,,,,,,,,,
test-completion-missing-error-rootoftrustmap,Diag execution failed.,,,,,,,,,,
task-failed-with-non-zero-code-return-code,Task return code: 1.,,,,,,,,,,
software-exception-boot-failure,,,,,,,,,,,
Rootoftrustmap Test Failed,,,,,,,,,,,
rainbow-cpu-error,,,,,,,,,,,
process-step-error-exception,"Caught ProcessStepError exception.
Traceback (most recent call last):",,,,,,,,,,
maxcorestim-bad-cpu-mce,"MCE CPU on socket = 0, core = 0",,,,,,,,,,
Fail to check diorite nvme,Can not find NVME device (target addr:0001:01:00.0),,,,,,,,,,
excessive-correctable-cache-cpu-errors,"CPU0 CACHE, Error type: correctable-cpu-errors, Rate 0.20 > Threshold 0.00 count/minute.",,,,,,,,,,
excessive-correctable-cache-cpu-errors,"CPU1 CACHE, Error type: correctable-cpu-errors, Rate 0.20 > Threshold 0.00 count/minute.",,,,,,,,,,
Diorite Part Number,value='1170656-01' lower_limit='1158718-03' upper_limit='',,,,,,,,,,
Diorite firmware check on usb_loc '1-1.7.1' Failed,Send command 'htool --usb_loc 1-1.7.1 target reset on' failed.,,,,,,,,,,
Diorite firmware check on usb_loc '1-1.7.1' Failed,"Send command 'htool --usb_loc 1-1.7.1 spi read --start 0x03e7009f --length 15 /dev/stdout | hexdump -C' failed.
Failure Info:
Exception message: [Errno 104] Connection reset by peer",,,,,,,,,,
Update Google BMC on GLP Failed,"Send command '/export/hda3/meltan/bmcintegrity/bmcintegrity --expected_bmc_version=""gbmc_80.35.12.1""' failed.
Failure Info:",,,,,,,,,,
test-completion-missing-error-sensor_monitor,Diag execution failed.,,,,,,,,,,
test-completion-missing-error-cssd_simple_io,Diag execution failed.,,,,,,,,,,
Send command fail: lscpu --version,"Exception message: Timeout opening channel.
Traceback (most recent call last):",,,,,,,,,,
Restart PID service Failed,phosphor-pid-control.service status is not active after restarting,,,,,,,,,,
pcierrors-high-replay_num_rollover-rate,"PCIe serial number: PDFQMB244502337, location: 0000:01:00.0, devpath: /phys/PE0/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE0 to PE1,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-replay_num_rollover-rate,"PCIe serial number: PDFCTH242301197, location: 0000:21:00.0, devpath: /phys/PE1/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE1 to PE0,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-replay_num_rollover-rate,"PCIe serial number: RC164-2293 244517684, location: 0000:41:00.0, devpath: /phys/PE2/IO0:device:0000_41_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE2 to PE3,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-replay_num_rollover-rate,"PCIe serial number: 9ADK332Q40030, location: 0000:60:01.1, devpath: /phys/CPU0:device:nbio1.1:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE3 to PE2,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-replay_num_rollover-rate,"PCIe serial number: 2468056-1 244775946, location: 0000:81:00.0, devpath: /phys/PE4/IO0:device:0000_81_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE4 to PE5,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-replay_num_rollover-rate,"PCIe serial number: 2468056-1 244805404, location: 0000:a1:00.0, devpath: /phys/PE5/IO0:device:0000_a1_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE5 to PE4,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-replay_num_rollover-rate,"PCIe serial number: 9MC6912O40006, location: 0000:c0:01.1, devpath: /phys/CPU1:device:nbio1.0:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE6 to PE7,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-replay_num_rollover-rate,"PCIe serial number: PDFQMB244300424, location: 0000:e1:00.0, devpath: /phys/PE7/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE7 to PE6,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
Get Diorite data from SFC components Failed,"Caught TypeError exception.
Exception message: expected string or bytes-like object",,,,,,,,,,
HB16 PCIe link speed and width check Failed,Send command 'modprobe switchtec_dma; modprobe dmatest' failed.,,,,,,,,,,
Fail to diorite 'PDFCTH244109482'FAN RPM:too slow),"diorite /phys:device:adt7473 rpm current is 0.0, but expected RPM range is 9000 ~ 20000",,,,,,,,,,
connect to Agora console fail,Trying too many times,,,,,,,,,,
"command execution failed: date -s ""2025-01-13 19:46:49""",Exception message: Timeout opening channel.,,,,,,,,,,
Upper critical limit violated,"Got 12 violations, exceeding threshold of 0 for sensor fan0 tach.",,,,,,,,,,
Upper critical limit violated,"Got 12 violations, exceeding threshold of 0 for sensor fan1 tach.",,,,,,,,,,
Upper critical limit violated,"Got 12 violations, exceeding threshold of 0 for sensor fan2 tach.",,,,,,,,,,
Upper critical limit violated,"Got 12 violations, exceeding threshold of 0 for sensor fan3 tach.",,,,,,,,,,
Upper critical limit violated,"Got 13 violations, exceeding threshold of 0 for sensor CPU0 T.",,,,,,,,,,
Upper critical limit violated,"Got 13 violations, exceeding threshold of 0 for sensor CPU1 T.",,,,,,,,,,
Send command fail: lsusb,"Exception message: Timeout opening channel.
Traceback (most recent call last):",,,,,,,,,,
"SATA fio /dev/sda write BW too slow, Cur: 91127, Exp: 100000","{
  ""fio version"" : ""fio-3.29"",
  ""timestamp"" : 1736481916,
  ""timestamp_ms"" : 1736481916300,
  ""time"" : ""Fri Jan 10 04:05:16 2025"",",,,,,,,,,,
procedural-error,Test failed with status: NOT_FOUND: GetSensors returns no sensors with the filters in GetSensorsRequest.\n=== Source Location Trace: === \nthird_party/meltan/core/hwinterface/backends/redfish/sensor.cc:206\n,,,,,,,,,,
memtester-insufficient-memory,"Available memory: 81485152, Minimum required memory: 1347283547",,,,,,,,,,
Fail to check diorite sensor,Fail to execute command [/usr/local/bin/gsys sensor list],,,,,,,,,,
Fail to check diorite sensor,invalid sensor is found:,,,,,,,,,,
Fail to check diorite 'PDFCTH244003247' FAN duty_cycle,"diorite /phys:device:adt7473 duty_cycle current is 0.00%%,  but expected range is 45.0% ~ 100.0%",,,,,,,,,,
execution-DIMM-miscompares-error,TestStep 'execution' measurement 'DIMM-miscompares': Measurement 'value 	 {\n  number_value: 595\n}\nrange {\n  maximum {\n    number_value: 0\n  }\n  minimum {\n    number_value: 0\n  }\n}\n' is invalid: Measurement 'DIMM-miscompares' value 'number_value: 	 595\n' is more than the maximum of 'number_value: 	 0\n',,,,,,,,,,
excessive-uncorrectable-watchdog-cpu-errors,"CPU0 WATCHDOG, Error type: uncorrectable-cpu-errors, Rate 0.20 > Threshold 0.00 count/minute.",,,,,,,,,,
excessive-uncorrectable-watchdog-cpu-errors,"CPU1 WATCHDOG, Error type: uncorrectable-cpu-errors, Rate 0.20 > Threshold 0.00 count/minute.",,,,,,,,,,
excessive-uncorrectable-cache-cpu-errors,"CPU0 CORE, Error type: uncorrectable-cpu-errors, Rate 19.60 > Threshold 0.00 count/minute.",,,,,,,,,,
excessive-uncorrectable-cache-cpu-errors,"CPU1 CORE, Error type: uncorrectable-cpu-errors, Rate 19.60 > Threshold 0.00 count/minute.",,,,,,,,,,
Dump lpcsnoop service log after reboot Failed,"Send command 'journalctl -u lpcsnoop.service > /tmp/lpcsnoop_post_codes.txt' failed.
Failure Info:
Exception message: SSH session not active",,,,,,,,,,
Configuration Check (Hardware) Failed,Parse response failure. Response:,,,,,,,,,,
Caught EOFError exception.,Traceback (most recent call last):,,,,,,,,,,
AC cycle system Failed,"""Create SSH connection to '{}' failed.
Unable to connect to 192.168.100.244: [Errno 113] No route to host""",,,,,,,,,,
pcierrors[GA],PE0,Repair 2,1. Reseat PCIe cable PE0,Repair 2,1. Replace PCIe cable PE0,Repair 2,1. Replace NIC card PE0,Debug 1,1. Confirm mobo replacement if unit keeps failing with new PCIe cable and NIC card,Debug 2,1. Confirm mobo replacement if unit keeps failing with new PCIe cable and NIC card
pcierrors[GA],PE2,Repair 2,1. Swap PCIe cable PE2 to PE3,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following Warthog, replace Warthog",Debug 1,1. Confirm mobo replacement if unit keeps failing with new PCIe cable and Warthog,Debug 2,1. Confirm mobo replacement if unit keeps failing with new PCIe cable and Warthog,Debug 2,1. Confirm mobo replacement if unit keeps failing with new PCIe cable and Warthog
